5,15,φ2,φ3,α1,1
5,16,φ3,φ2,α1,0
5,17,φ2,φ1,α1,0
5,18,φ1,φ1,α1,0
5,19,φ1,φ2,α1,0
5,20,φ2,φ1,α3,0
5,21,φ1,φ1,α1,0
5,22,φ1,φ2,α1,0
5,23,φ2,φ3,α1,0
5,24,φ3,φ2,α1,1
5,25,φ2,φ2,α1,0
5,26,φ2,φ3,α2,0
5,27,φ3,φ2,α1,1
5,28,φ2,φ1,α1,0
5,29,φ1,φ2,α1,1
5,30,φ2,φ3,α1,0
5,31,φ3,φ5,α1,0
5,32,φ5,φ5,α2,1
5,33,φ5,φ5,α1,0
5,34,φ5,φ5,α2,1
5,35,φ5,φ3,α2,1
5,36,φ3,φ3,α1,0
5,37,φ3,φ2,α1,0
5,38,φ2,φ4,α1,0
5,39,φ4,φ2,α1,0
5,40,φ2,φ2,α1,1
5,41,φ2,φ5,α1,0
5,42,φ5,φ4,α1,0
5,43,φ4,φ3,α1,0
5,44,φ3,φ2,α1,0
5,45,φ2,φ3,α1,0
5,46,φ3,φ3,α1,0
5,47,φ3,φ1,α1,1
5,48,φ1,φ1,α1,0
6,1,φ5,φ4,α1,0
6,2,φ4,φ5,α1,0
6,3,φ5,φ5,α1,0
6,4,φ5,φ4,α1,0
6,5,φ4,φ3,α1,0
6,6,φ3,φ1,α1,0
6,7,φ1,φ2,α1,0
6,8,φ2,φ1,α1,0
6,9,φ1,φ2,α3,1
6,10,φ2,φ1,α2,0
6,11,φ1,φ1,α1,0
6,12,φ1,φ2,α1,0
6,13,φ2,φ2,α1,0
6,14,φ2,φ1,α2,0
6,15,φ1,φ2,α1,1
6,16,φ2,φ1,α1,0
6,17,φ1,φ2,α1,0
6,18,φ2,φ2,α1,0
6,19,φ2,φ2,α1,0
6,20,φ2,φ2,α2,1
6,21,φ2,φ3,α1,0
6,22,φ3,φ4,α1,0
6,23,φ4,φ4,α3,1
6,24,φ4,φ5,α1,0
6,25,φ5,φ4,α3,1
6,26,φ4,φ5,α1,1
